title,description
Turkcell İnternet Kullanmadan Bitiyor,“Şikayetimi bildirir bildirmez aradılar ve sorunda çözüldü müşteri temsilcisi de çok ilgilendi teşekkür ederim”
Turkcell Hizmet Çözüm Var Mı Yok Mu Sizde,“Son derece kibar ve sabırlı bir şekilde sorunumun çözümünde yardımcı olan müşteri temsilcisine çok teşekkür ederim.”
Turkcell İnternet Paketi Hızlı Bitiyor,“Talebim doğrultusunda bir gün olmadan çözüme ulaştım teşekkür ederim”
Turkcell Karar Ver Ek Paketi Sattın Bari Kullandır Ya Da İptal Et,“Çok teşekkürler”
Turkcell Şebeke Çekmemesi Ve İnternet Yokken Bile İnternetimin Bitmesi,“Teşekkürler”
Turkcell İn Çalışmayan İnterneti,“Teşekkürler sorunum düzeldi fakat internetimi kullanamadığım zamanlar için internetim uzatılsaydı iyi olurdu”
Turkcell Sosyal Medya Paketinde Kullanım Sorunu,“Teşekkürler”
Turkcell Hotspot 50 GB Paketi İptal Edemiyorum!,“Çok teşekkür”
Turkcell Hizmet Vermemek İçin Para İstiyor,“Bana yaptığınız açıklamadan dolayı bütün Turkcell yetkililerine teşekkürlerimi iletiyorum bana vakit ayırdıkları için ayrıca teşekkür ederim 🙏”
Turkcell Aşım Paketi İptal Edeceğim Diyerek Fazla Ürün Satıyor,"“Turkcell'den dönüş yaptılar. Tarafımdan ücret kesintisi yapılmayacağı bilgisini verdiler. Çözümlendi, teşekkür ederim.”"
Turkcell Fazla Para Çekme,"“Sayın Turkcell Ekibi ; 
Ben Muhmammet Üstünkaya ; 
Sorunu düzelttiğiniz için teşekkür ederiz.
Saygılarımla...
Yaş : 13 
Sınıf : 7 Sınıf 
Okulu : Palu Ortaokulu”"
Turkcell Geçişte Paket İptali,“Talebim dışında tanımlanmış paketin ücret iadesi gerçekleştirildiği ve sorun kısa sürede çözüldüğü için Turkcell'e teşekkür ederim.”
Turkcell Mobil Uygulama Hata Veriyor,“Teşekkürler şikayetim çözüldü paket içeriği satın alma işlemini gerçekleştirdim”
Turkcell Kendi Kendine Abonelik Yapıyor,“Ücret iadesini yaptığınız için teşekkür ederiz”
Turkcell Hizmet Çözüm Var Mı Yok Mu Sizde,"“Turkcell'e müşteri odaklı düşünüp kısa sürede sorunu çözdüğü için teşekkür ederim.
Özellikle müşteri temsilcisi bayanın ilgi ve nezaketine ayrıca teşekkürler”"
Turkcell Hizmet Çözüm Var Mı Yok Mu Sizde,“Şikayetimle anında ilgilendiğiniz için teşekkür ederim”
Turkcell Durduk Yere Aşım Yazıyor,“Teşekkür ederi.”
Turkcell Ek Paketler Çok Pahalı Ve Kullanmadan Bitiyor!,“Şikayete konu olan hususu çözdüğü için Turkcell'e teşekkür ederim.”
Turkcell Hotspot Paketinin İptali,“Teşekkür ederim ilginiz için”
Turkcell Yurt Dışı İnternet Hizmeti Sağlayamıyor,“Müşteri hizmetleri yetkilisi çok ilgili biriydi. Hızlıca çözüm sundu. Kendisine ve Turkcell e çok teşekkür ederim”
Turkcell'de Ödül Avcıları Kampanyası Sorunu,“Yardımcı olduğunuz için teşekkür ederim”
Turkcell Sormadan İnternet Paketi Tanımlıyor,“Çok teşekkürler sorun çözüldü”
